scenario,seed,transition,from_n,to_n,ratio
ALL_MC_BASELINE,1,biopsy_done -> path_report,65,63,0.9692307692307692
ALL_MC_BASELINE,1,path_report -> treat_mdt,63,50,0.7936507936507936
ALL_MC_BASELINE,1,treat_mdt -> outpatient,50,47,0.94
PROSTAD,1,biopsy_done -> path_report,66,65,0.9848484848484849
PROSTAD,1,path_report -> treat_mdt,65,51,0.7846153846153846
PROSTAD,1,treat_mdt -> outpatient,51,49,0.9607843137254902
ALL_MC_BASELINE,2,biopsy_done -> path_report,85,82,0.9647058823529412
ALL_MC_BASELINE,2,path_report -> treat_mdt,82,68,0.8292682926829268
ALL_MC_BASELINE,2,treat_mdt -> outpatient,68,63,0.9264705882352942
PROSTAD,2,biopsy_done -> path_report,87,85,0.9770114942528736
PROSTAD,2,path_report -> treat_mdt,85,68,0.8
PROSTAD,2,treat_mdt -> outpatient,68,66,0.9705882352941176
ALL_MC_BASELINE,3,biopsy_done -> path_report,83,81,0.9759036144578314
ALL_MC_BASELINE,3,path_report -> treat_mdt,81,62,0.7654320987654321
ALL_MC_BASELINE,3,treat_mdt -> outpatient,62,60,0.967741935483871
PROSTAD,3,biopsy_done -> path_report,87,85,0.9770114942528736
PROSTAD,3,path_report -> treat_mdt,85,66,0.7764705882352941
PROSTAD,3,treat_mdt -> outpatient,66,62,0.9393939393939394
ALL_MC_BASELINE,4,biopsy_done -> path_report,101,98,0.9702970297029703
ALL_MC_BASELINE,4,path_report -> treat_mdt,98,82,0.8367346938775511
ALL_MC_BASELINE,4,treat_mdt -> outpatient,82,79,0.9634146341463414
PROSTAD,4,biopsy_done -> path_report,103,99,0.9611650485436893
PROSTAD,4,path_report -> treat_mdt,99,83,0.8383838383838383
PROSTAD,4,treat_mdt -> outpatient,83,80,0.963855421686747
ALL_MC_BASELINE,5,biopsy_done -> path_report,73,70,0.958904109589041
ALL_MC_BASELINE,5,path_report -> treat_mdt,70,55,0.7857142857142857
ALL_MC_BASELINE,5,treat_mdt -> outpatient,55,54,0.9818181818181818
PROSTAD,5,biopsy_done -> path_report,75,73,0.9733333333333334
PROSTAD,5,path_report -> treat_mdt,73,57,0.7808219178082192
PROSTAD,5,treat_mdt -> outpatient,57,55,0.9649122807017544
ALL_MC_BASELINE,6,biopsy_done -> path_report,83,83,1.0
ALL_MC_BASELINE,6,path_report -> treat_mdt,83,59,0.7108433734939759
ALL_MC_BASELINE,6,treat_mdt -> outpatient,59,57,0.9661016949152542
PROSTAD,6,biopsy_done -> path_report,87,84,0.9655172413793104
PROSTAD,6,path_report -> treat_mdt,84,60,0.7142857142857143
PROSTAD,6,treat_mdt -> outpatient,60,58,0.9666666666666667
ALL_MC_BASELINE,7,biopsy_done -> path_report,73,73,1.0
ALL_MC_BASELINE,7,path_report -> treat_mdt,73,56,0.7671232876712328
ALL_MC_BASELINE,7,treat_mdt -> outpatient,56,54,0.9642857142857143
PROSTAD,7,biopsy_done -> path_report,75,75,1.0
PROSTAD,7,path_report -> treat_mdt,75,59,0.7866666666666666
PROSTAD,7,treat_mdt -> outpatient,59,55,0.9322033898305084
ALL_MC_BASELINE,8,biopsy_done -> path_report,69,68,0.9855072463768116
ALL_MC_BASELINE,8,path_report -> treat_mdt,68,55,0.8088235294117647
ALL_MC_BASELINE,8,treat_mdt -> outpatient,55,52,0.9454545454545454
PROSTAD,8,biopsy_done -> path_report,69,68,0.9855072463768116
PROSTAD,8,path_report -> treat_mdt,68,54,0.7941176470588235
PROSTAD,8,treat_mdt -> outpatient,54,54,1.0
ALL_MC_BASELINE,9,biopsy_done -> path_report,85,82,0.9647058823529412
ALL_MC_BASELINE,9,path_report -> treat_mdt,82,67,0.8170731707317073
ALL_MC_BASELINE,9,treat_mdt -> outpatient,67,63,0.9402985074626866
PROSTAD,9,biopsy_done -> path_report,85,83,0.9764705882352941
PROSTAD,9,path_report -> treat_mdt,83,66,0.7951807228915663
PROSTAD,9,treat_mdt -> outpatient,66,65,0.9848484848484849
ALL_MC_BASELINE,10,biopsy_done -> path_report,79,75,0.9493670886075949
ALL_MC_BASELINE,10,path_report -> treat_mdt,75,59,0.7866666666666666
ALL_MC_BASELINE,10,treat_mdt -> outpatient,59,57,0.9661016949152542
PROSTAD,10,biopsy_done -> path_report,80,78,0.975
PROSTAD,10,path_report -> treat_mdt,78,61,0.782051282051282
PROSTAD,10,treat_mdt -> outpatient,61,57,0.9344262295081968
ALL_MC_BASELINE,11,biopsy_done -> path_report,65,64,0.9846153846153847
ALL_MC_BASELINE,11,path_report -> treat_mdt,64,53,0.828125
ALL_MC_BASELINE,11,treat_mdt -> outpatient,53,52,0.9811320754716981
PROSTAD,11,biopsy_done -> path_report,67,66,0.9850746268656716
PROSTAD,11,path_report -> treat_mdt,66,56,0.8484848484848485
PROSTAD,11,treat_mdt -> outpatient,56,54,0.9642857142857143
ALL_MC_BASELINE,12,biopsy_done -> path_report,90,87,0.9666666666666667
ALL_MC_BASELINE,12,path_report -> treat_mdt,87,66,0.7586206896551724
ALL_MC_BASELINE,12,treat_mdt -> outpatient,66,63,0.9545454545454546
PROSTAD,12,biopsy_done -> path_report,92,92,1.0
PROSTAD,12,path_report -> treat_mdt,92,67,0.7282608695652174
PROSTAD,12,treat_mdt -> outpatient,67,65,0.9701492537313433
ALL_MC_BASELINE,13,biopsy_done -> path_report,71,68,0.9577464788732394
ALL_MC_BASELINE,13,path_report -> treat_mdt,68,55,0.8088235294117647
ALL_MC_BASELINE,13,treat_mdt -> outpatient,55,54,0.9818181818181818
PROSTAD,13,biopsy_done -> path_report,73,70,0.958904109589041
PROSTAD,13,path_report -> treat_mdt,70,56,0.8
PROSTAD,13,treat_mdt -> outpatient,56,54,0.9642857142857143
ALL_MC_BASELINE,14,biopsy_done -> path_report,71,71,1.0
ALL_MC_BASELINE,14,path_report -> treat_mdt,71,58,0.8169014084507042
ALL_MC_BASELINE,14,treat_mdt -> outpatient,58,57,0.9827586206896551
PROSTAD,14,biopsy_done -> path_report,73,73,1.0
PROSTAD,14,path_report -> treat_mdt,73,59,0.8082191780821918
PROSTAD,14,treat_mdt -> outpatient,59,58,0.9830508474576272
ALL_MC_BASELINE,15,biopsy_done -> path_report,86,84,0.9767441860465116
ALL_MC_BASELINE,15,path_report -> treat_mdt,84,67,0.7976190476190477
ALL_MC_BASELINE,15,treat_mdt -> outpatient,67,64,0.9552238805970149
PROSTAD,15,biopsy_done -> path_report,87,87,1.0
PROSTAD,15,path_report -> treat_mdt,87,71,0.8160919540229885
PROSTAD,15,treat_mdt -> outpatient,71,69,0.971830985915493
ALL_MC_BASELINE,16,biopsy_done -> path_report,86,82,0.9534883720930233
ALL_MC_BASELINE,16,path_report -> treat_mdt,82,66,0.8048780487804879
ALL_MC_BASELINE,16,treat_mdt -> outpatient,66,63,0.9545454545454546
PROSTAD,16,biopsy_done -> path_report,84,83,0.9880952380952381
PROSTAD,16,path_report -> treat_mdt,83,67,0.8072289156626506
PROSTAD,16,treat_mdt -> outpatient,67,63,0.9402985074626866
ALL_MC_BASELINE,17,biopsy_done -> path_report,67,65,0.9701492537313433
ALL_MC_BASELINE,17,path_report -> treat_mdt,65,48,0.7384615384615385
ALL_MC_BASELINE,17,treat_mdt -> outpatient,48,47,0.9791666666666666
PROSTAD,17,biopsy_done -> path_report,69,67,0.9710144927536232
PROSTAD,17,path_report -> treat_mdt,67,50,0.746268656716418
PROSTAD,17,treat_mdt -> outpatient,50,48,0.96
ALL_MC_BASELINE,18,biopsy_done -> path_report,79,78,0.9873417721518988
ALL_MC_BASELINE,18,path_report -> treat_mdt,78,63,0.8076923076923077
ALL_MC_BASELINE,18,treat_mdt -> outpatient,63,59,0.9365079365079365
PROSTAD,18,biopsy_done -> path_report,81,78,0.9629629629629629
PROSTAD,18,path_report -> treat_mdt,78,64,0.8205128205128205
PROSTAD,18,treat_mdt -> outpatient,64,61,0.953125
ALL_MC_BASELINE,19,biopsy_done -> path_report,79,78,0.9873417721518988
ALL_MC_BASELINE,19,path_report -> treat_mdt,78,52,0.6666666666666666
ALL_MC_BASELINE,19,treat_mdt -> outpatient,52,46,0.8846153846153846
PROSTAD,19,biopsy_done -> path_report,82,81,0.9878048780487805
PROSTAD,19,path_report -> treat_mdt,81,53,0.654320987654321
PROSTAD,19,treat_mdt -> outpatient,53,49,0.9245283018867925
ALL_MC_BASELINE,20,biopsy_done -> path_report,69,68,0.9855072463768116
ALL_MC_BASELINE,20,path_report -> treat_mdt,68,59,0.8676470588235294
ALL_MC_BASELINE,20,treat_mdt -> outpatient,59,57,0.9661016949152542
PROSTAD,20,biopsy_done -> path_report,70,69,0.9857142857142858
PROSTAD,20,path_report -> treat_mdt,69,59,0.855072463768116
PROSTAD,20,treat_mdt -> outpatient,59,58,0.9830508474576272
