scenario,stage,mean_in_stage,median_in_stage,peak_in_stage,mean_rolling_in_stage,peak_rolling_in_stage
ALL_BASELINE,biopmdt_to_biopsy,18.53972602739726,20.0,30,18.158708414872798,28.0
ALL_PROSTAD,biopmdt_to_biopsy,9.994520547945205,10.0,17,9.830406077940324,13.5
OBS_MIX,biopmdt_to_biopsy,18.224657534246575,19.0,28,17.88389616471808,25.285714285714285
ALL_BASELINE,biopsy_to_pathrep,5.53972602739726,6.0,13,5.441095890410959,10.714285714285714
ALL_PROSTAD,biopsy_to_pathrep,2.8986301369863012,3.0,7,2.8806262230919764,5.285714285714286
OBS_MIX,biopsy_to_pathrep,5.473972602739726,6.0,11,5.393542074363992,9.5
ALL_BASELINE,mri_to_report,8.172602739726027,9.0,15,8.017808219178082,13.0
ALL_PROSTAD,mri_to_report,0.5698630136986301,0.0,4,0.5800342427739688,2.0
OBS_MIX,mri_to_report,4.295890410958904,4.0,12,4.183548186972844,7.785714285714286
ALL_BASELINE,pathrep_to_treatmdt,5.284931506849315,6.0,13,5.207827788649706,10.285714285714286
ALL_PROSTAD,pathrep_to_treatmdt,2.9753424657534246,3.0,11,2.9342465753424656,7.857142857142857
OBS_MIX,pathrep_to_treatmdt,5.232876712328767,6.0,11,5.1201565557729944,8.5
ALL_BASELINE,ref_to_mri,29.846575342465755,30.0,43,29.321581584321308,39.714285714285715
ALL_PROSTAD,ref_to_mri,0.0,0.0,0,0.0,0.0
OBS_MIX,ref_to_mri,14.528767123287672,15.0,21,14.269995879310947,18.642857142857142
ALL_BASELINE,report_to_biopmdt,5.764383561643836,6.0,14,5.656947162426614,9.642857142857142
ALL_PROSTAD,report_to_biopmdt,0.0,0.0,0,0.0,0.0
OBS_MIX,report_to_biopmdt,2.706849315068493,3.0,8,2.650293542074364,5.642857142857143
ALL_BASELINE,treatmdt_to_outpat,5.120547945205479,5.0,14,5.031311154598826,10.785714285714286
ALL_PROSTAD,treatmdt_to_outpat,3.0,3.0,9,2.9037181996086106,7.357142857142857
OBS_MIX,treatmdt_to_outpat,5.03013698630137,6.0,13,4.964187866927593,10.071428571428571
