pathway_type,stage,mean_in_stage,median_in_stage,peak_in_stage,mean_rolling_in_stage,peak_rolling_in_stage
BASELINE,biopmdt_to_biopsy,4.764383561643836,5.0,10,4.664970645792564,9.071428571428571
PROSTAD,biopmdt_to_biopsy,7.597260273972603,8.0,13,7.507232143807486,11.285714285714286
BASELINE,biopsy_to_pathrep,1.5835616438356164,2.0,5,1.5735812133072409,3.7857142857142856
PROSTAD,biopsy_to_pathrep,2.1315068493150684,2.0,7,2.080234833659491,4.5
BASELINE,mri_to_report,2.106849315068493,2.0,6,2.028375733855186,4.214285714285714
PROSTAD,mri_to_report,0.4246575342465753,0.0,4,0.42916707341364874,1.0
BASELINE,pathrep_to_treatmdt,1.6931506849315068,2.0,6,1.661252446183953,4.0
PROSTAD,pathrep_to_treatmdt,1.9616438356164383,2.0,8,1.9195694716242662,4.928571428571429
BASELINE,ref_to_mri,8.665753424657535,8.0,17,8.518674179701577,14.642857142857142
PROSTAD,ref_to_mri,1.926027397260274,2.0,7,1.9198408744984088,5.0
BASELINE,report_to_biopmdt,1.5095890410958903,1.0,6,1.4708414872798434,4.285714285714286
PROSTAD,report_to_biopmdt,0.0,0.0,0,0.0,0.0
BASELINE,treatmdt_to_outpat,1.810958904109589,2.0,7,1.7561643835616438,4.928571428571429
PROSTAD,treatmdt_to_outpat,1.83013698630137,2.0,6,1.786105675146771,4.357142857142857
