week,demand,completed,mean_queue,end_queue,prev_waiting
2024-01-01,1,0,3.0,3,
2024-01-08,3,1,2.2857142857142856,2,3.0
2024-01-15,2,2,0.7142857142857143,0,2.0
2024-01-22,3,0,0.0,0,0.0
2024-01-29,3,0,0.0,0,0.0
2024-02-05,0,0,0.0,0,0.0
2024-02-12,5,0,0.0,0,0.0
2024-02-19,2,1,0.14285714285714285,1,0.0
2024-02-26,4,1,0.2857142857142857,0,1.0
2024-03-04,4,2,1.4285714285714286,3,0.0
2024-03-11,3,3,1.0,0,3.0
2024-03-18,3,0,0.14285714285714285,1,0.0
2024-03-25,2,1,0.5714285714285714,2,1.0
2024-04-01,1,3,1.2857142857142858,2,2.0
2024-04-08,2,1,2.142857142857143,2,2.0
2024-04-15,2,2,0.7142857142857143,1,2.0
2024-04-22,5,1,2.4285714285714284,3,1.0
2024-04-29,3,3,1.1428571428571428,1,3.0
2024-05-06,6,1,0.2857142857142857,0,1.0
2024-05-13,6,0,0.14285714285714285,1,0.0
2024-05-20,2,2,0.2857142857142857,0,1.0
2024-05-27,2,2,0.0,0,0.0
2024-06-03,7,2,0.5714285714285714,2,0.0
2024-06-10,2,3,0.8571428571428571,0,2.0
2024-06-17,2,1,0.14285714285714285,1,0.0
2024-06-24,1,2,1.8571428571428572,4,1.0
2024-07-01,5,2,3.857142857142857,4,4.0
2024-07-08,5,4,3.2857142857142856,2,4.0
2024-07-15,3,2,1.4285714285714286,1,2.0
2024-07-22,2,2,0.42857142857142855,0,1.0
2024-07-29,4,1,0.14285714285714285,0,0.0
2024-08-05,2,0,2.0,4,0.0
2024-08-12,6,4,2.4285714285714284,1,4.0
2024-08-19,2,3,1.0,0,1.0
2024-08-26,5,0,0.2857142857142857,2,0.0
2024-09-02,4,2,2.5714285714285716,4,2.0
2024-09-09,4,4,2.4285714285714284,2,4.0
2024-09-16,6,3,1.0,0,2.0
2024-09-23,4,2,0.2857142857142857,1,0.0
2024-09-30,3,4,1.0,0,1.0
2024-10-07,3,1,0.5714285714285714,3,0.0
2024-10-14,3,4,2.857142857142857,3,3.0
2024-10-21,4,4,1.8571428571428572,1,3.0
2024-10-28,4,1,0.42857142857142855,1,1.0
2024-11-04,2,1,0.5714285714285714,2,1.0
2024-11-11,5,3,0.7142857142857143,0,2.0
2024-11-18,2,1,0.14285714285714285,1,0.0
2024-11-25,1,4,1.2857142857142858,1,1.0
2024-12-02,4,4,0.7142857142857143,0,1.0
2024-12-09,3,2,0.5714285714285714,1,0.0
2024-12-16,3,2,0.2857142857142857,0,1.0
2024-12-23,2,1,0.0,0,0.0
2024-12-30,2,2,2.0,2,0.0
